,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,41.59,35.63,5.40,4.99,15.30,19.75,6.80,24170000000.0,13.89,24170000000.0,23500000000.0,25.98,2.49,5.26,21.46,5.26,2410000000.0,24170000000.0,2.10,2.10,40.50,7.00,2680000000.0,8.29,2009999999.9999998,3.30,15.00,562500000.0,24170000000.0,0.26,87.29,0.00,0.00,0.00,0.6,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,20.66,46.55,0.86,2.21,1.86,12.99,5.53,9990000000.0,63.18,9990000000.0,10100000000.0,13.99,0.26,0.87,4.46,0.87,1430000000.0,9990000000.0,1.16,1.16,1360000000.0,25.10,1360000000.0,7.33,1400000000.0,1.30,24.41,1220000000.0,9990000000.0,6.54,0.00,7490000.0,1.86,4.07,5760000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,86.30,18.62,3.81,6.56,21.09,26.76,11.00,872480000000.0,43.94,872480000000.0,921870000000.0,13.84,1.34,4.02,12.89,4.02,88190000000.0,872480000000.0,48350000000.0,9.21,18.90,12.20,74400000000.0,14.49,115680000000.0,1.28,26.15,63600000000.0,872480000000.0,0.07,61.75,42830000.0,1.46,0.82,33490000.000000004,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,569.61,37.34,6.97,29.41,18.82,37.97,93.77,196700000000.0,17.60,196700000000.0,225230000000.0,18.70,1.30,7.98,18.43,7.98,19800000000.0,196700000000.0,5310000000.0,3.30,96.30,13.90,9550000000.0,5.99,38090000000.0,4.19,4.19,1.39,196700000000.0,0.07,73.63,15150000.0,2.3,1.07,12640000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,183.76,64.32,0.15,11.14,0.24,1.32,3.66,24360000000.0,701.29,24360000000.0,24360000000.0,15.18,2.05,0.16,9.97,0.16,4550000000.0,24360000000.0,364480000.0,1.64,2440000000.0,4.20,2440000000.0,11.17,3790000000.0,0.91,9.47,1500000000.0,24360000000.0,26.25,70.53,10620000.0,4.39,6.65,11020000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,74.74,234.02,4.03,3.45,1.74,14.40,1.33,110390000000.0,15.66,110390000000.0,123270000000.0,19.76,1.89,4.50,18.00,4.50,11830000000.0,110390000000.0,0.27,0.27,11200000000.0,42.30,11200000000.0,6.43,24080000000.0,18.40,18.40,1.65,110390000000.0,0.72,74.53,13370000.0,2.44,0.78,12100000.0,N/A
6,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.25,28.81,2.80,10.99,9.94,14.77,15.25,100240000000.0,57.96,100240000000.0,96580000000.0,22.45,2.39,2.69,16.50,2.69,11030000000.0,100240000000.0,3560000000.0,5.64,11.90,11.80,3680000000.0,5.97,25200000.0,1.25,14.79,4890000000.0,100240000000.0,0.23,81.77,8860000.0,5.47,1.35,9210000.0,N/A
7,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,22.25,59.56,13.59,11.69,23.20,29.69,9.95,99230000000.0,14.79,99230000000.0,95020000000.0,28.35,1.32,13.01,38.10,13.01,6290000000.0,99230000000.0,1690000000.0,3.38,25.50,24.80,5820000000.0,11.84,1880000000.0,2.06,17.22,2910000000.0,99230000000.0,0.35,89.18,5730000.0,1.79,1.16,4900000.0,N/A
8,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,77.26,45.33,6.77,3.40,14.24,30.02,6.58,34590000000.0,14.75,34590000000.0,40710000000.0,16.82,2.39,7.97,19.23,7.97,3060000000.0,34590000000.0,725020000.0,2.07,17.40,53.60,1050000000.0,2.84,7850000000.0,1.47,27.57,1110000000.0,34590000000.0,0.53,88.58,7850000.0,4.24,2.56,1.8,N/A
9,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,41.61,20.41,0.40,1.39,2.01,2.60,2.53,24380000000.0,106.91,24380000000.0,30930000000.0,16.03,7.43,0.50,12.38,0.50,3680000000.0,24380000000.0,1230000000.0,2.14,43.70,6.30,1.39,1.39,7340000000.0,1.61,31.43,2330000000.0,24380000000.0,2.30,79.80,12400000.0,3.68,2.22,11680000.0,N/A
10,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,53.92,31.02,4.33,13.74,14.08,19.04,4.26,54250000000.0,28.17,54250000000.0,53150000000.0,27.43,2.79,4.24,19.59,4.24,5110000000.0,54250000000.0,1770000000.0,3.94,8.90,5.60,2480000000.0,5.59,2130000000.0,1.10,8.90,2040000000.0,54250000000.0,0.28,80.19,5740000.0,2.75,1.29,6350000.0,N/A
11,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,477.54,96.54,13.09,241.85,28.60,23.39,6.45,25940000000.0,9.01,25940000000.0,26070000000.0,96.54,6.03,13.16,79.50,13.16,1690000000.0,25940000000.0,566800000.0,2.58,1450000000.0,5.20,1450000000.0,6.6,1590000000.0,1.07,0.49,62800000.0,25940000000.0,0.35,98.42,4680000.0,3.64,2.58,3650000.0,N/A
12,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,387.34,2.09,2.09,2.73,8.93,9.26,4260000000.0,8910000000.0,6.65,8910000000.0,18290000000.0,2.09,2.09,4.29,8.28,4.29,2210000000.0,8910000000.0,380510000.0,0.59,170660000.0,4.40,170660000.0,0.27,10830000000.0,0.51,4.36,1500000000.0,8910000000.0,0.00,85.60,10480000.0,3.4,7.61,13460000.0,N/A
13,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,108.79,22.66,2.33,1.88,10.38,23.26,3.46,13810000000.0,24.42,13810000000.0,22100000000.0,18.91,2.83,3.73,9.46,3.73,2690000000.0,13810000000.0,2.51,2.51,22.00,7.60,0.04,0.04,8140000000.000001,0.61,30.28,2210000000.0,13810000000.0,0.31,71.85,6630000.0,5.35,3.05,6430000.0,N/A
14,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,1.68,20.33,0.90,2.82,4.50,8.62,10.89,3290000000.0,20.44,3290000000.0,3030000000.0,13.84,9.88,0.83,6.32,0.83,1370000000.0,3290000000.0,164830000.0,0.91,15.90,2.10,257529999.99999997,1.45,1.68,1.68,6.57,350840000.0,3290000000.0,5.87,87.59,18400000.0,6.13,12.66,17360000.0,N/A
15,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,120.30,17.95,2.20,1.87,12.24,20.72,3.18,33820000000.0,31.33,33820000000.0,55180000000.0,16.69,4.09,3.58,11.17,3.58,9410000000.0,33820000000.0,1890000000.0,3.83,481700000.0,11.80,481700000.0,0.98,21780000000.0,0.56,36.74,4219999999.9999995,33820000000.0,0.02,72.88,0.00,0.00,0.00,2.48,N/A
16,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,344.75,9.93,0.55,2.43,5.43,17.13,3.99,7740000000.0,21.42,7740000000.0,27810000000.0,9.93,1.37,1.97,7.72,1.97,2430000000.0,7740000000.0,1.17,1.17,13.10,2.50,1960000000.0,2.97,22030000000.0,0.99,4.82,2390000000.0,7740000000.0,0.33,97.36,8250000.0,1.28,1.62,8189999.999999999,N/A
17,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,64.22,36.68,1.03,4.04,2.93,8.66,5.14,62980000000.0,180.91,62980000000.0,64090000000.0,18.20,1.74,1.04,10.71,1.04,16800000000.0,62980000000.0,1800000000.0,5.26,38.70,5.00,8640000000.0,26.5,10160000000.0,0.83,47.79,1320000000.0,62980000000.0,0.45,90.75,2610000.0,0.89,0.85,2430000.0,N/A
18,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,26.25,13.21,1.60,1.63,12.37,21.28,2.13,35770000000.0,56.05,35770000000.0,36560000000.0,12.13,0.98,1.63,7.58,1.63,8270000000.0,35770000000.0,2770000000.0,6.89,13.80,4.30,4980000000.0,12.68,5770000000.0,0.44,55.80,6460000000.0,35770000000.0,2.21,73.30,6770000.0,4.7,1.73,6060000.0,N/A
19,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,42.62,12.07,4.02,0.94,46.82,3.75,0.28,62170000000.0,45.52,62170000000.0,87060000000.0,12.07,1.46,5.62,13.41,5.62,12710000000.0,62170000000.0,7550000000.0,22.13,5440000000.0,11.40,5440000000.0,16.36,30340000000.0,1.18,199.13,3720000000.0,62170000000.0,0.25,89.81,8940000.0,1.67,2.67,7840000.0,N/A
20,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,42.51,11.47,1.19,0.80,5.05,4.88,0.29,58140000000.0,50.83,58140000000.0,76980000000.0,11.47,0.15,1.58,45.25,1.58,15410000000.0,58140000000.0,2440000000.0,2.58,12210000000.0,8.60,12210000000.0,13.58,31040000000.0,0.60,80.62,8570000000.0,58140000000.0,0.06,88.54,25970000.0,4.94,2.83,21320000.0,N/A
21,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,285.74,31.92,7.01,4.97,21.84,23.97,2.37,6920000000.0,6.32,6920000000.0,11670000000.0,91.52,15.67,11.81,19.97,11.81,639090000.0,6920000000.0,206760000.0,1.32,26.60,3.20,55680000.0,0.35,4390000000.0,0.16,8.47,386290000.0,6920000000.0,0.84,102.56,3520000.0,4.02,3.19,3890000.0,N/A
22,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,29.62,22.50,0.79,1.24,3.67,6.39,0.83,5140000000.0,116.55,5140000000.0,5100000000.0,11.82,1.31,0.79,9.61,0.79,2280000000.0,5140000000.0,237950000.0,4.24,1260000000.0,13.50,1260000000.0,23.4,1230000000.0,0.91,76.92,568930000.0,5140000000.0,0.81,93.96,1.76,1.76,1.74,2.24,N/A
