,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,47.39,109.85,4.60,4.71,4.25,19.84,6.91,21250000000.0,14.32,21250000000.0,21780000000.0,22.04,2.27,4.72,19.38,4.72,2410000000.0,21250000000.0,0.60,0.60,2890000000.0,13.50,2890000000.0,8.95,2140000000.0000002,3.23,14.00,599120000.0,21250000000.0,0.25,87.97,0.00,0.00,0.00,0.6,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,20.65,41.56,0.77,1.97,1.86,12.90,5.49,8980000000.0,63.33,8980000000.0,8410000000.0,13.03,1.46,0.72,3.73,0.72,1430000000.0,8980000000.0,1.160,1.160,1360000000.0,25.10,1360000000.0,7.29,1400000000.0,1.30,24.42,1220000000.0,8980000000.0,6.19,0.00,7490000.0,1.86,4.07,5760000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,87.30,17.83,3.67,6.27,21.13,26.87,10.89,877350000000.0,46.26,877350000000.0,921880000000.0,13.19,1.13,3.85,12.43,3.85,88190000000.0,877350000000.0,50520000000.0,9.7000,12.20,12.70,77150000000.0,15.21,122400000000.0,1.24,27.59,64660000000.0,877350000000.0,1.48,61.94,42830000.0,1.46,0.82,33490000.000000004,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,733.14,28.10,5.22,28.97,18.82,37.72,9.72,147150000000.0,17.68,147150000000.0,183360000000.0,10.62,0.73,6.50,15.10,6.50,21180000000.0,147150000000.0,5280000000.0,3.30,96.30,13.90,9790000000.0,6.16,37370000000.0,1.27,3.20,9960000000.0,147150000000.0,0.07,74.15,15150000.0,2.3,1.07,12640000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,161.32,19.59,0.12,6.58,0.63,1.30,3.61,19020000000.0,712.08,19020000000.0,20270000000.0,11.76,1.26,0.13,8.24,0.13,4550000000.0,19020000000.0,979090000.0,4.42,248.60,6.00,3040000000.0,13.83,4640000000.0,0.95,13.16,1940000000.0,19020000000.0,26.12,68.99,10620000.0,4.39,6.65,11020000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,89.79,222.53,3.82,3.38,1.74,10.73,2.85,104540000000.0,15.74,104540000000.0,124720000000.0,18.65,1.74,4.55,20.93,4.55,15050000000.0,104540000000.0,0.27,0.27,9610000000.0,42.30,9610000000.0,5.5,27920000000.0,2.26,17.72,5570000000.0,104540000000.0,0.73,73.73,13370000.0,2.44,0.78,12100000.0,N/A
6,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.25,26.77,2.71,10.21,9.94,14.77,15.25,97140000000.0,57.96,97140000000.0,96790000000.0,20.64,2.14,2.70,16.53,2.70,11030000000.0,97140000000.0,3560000000.0,5.64,11.90,11.80,3680000000.0,5.97,25200000.0,1.25,14.79,4890000000.0,97140000000.0,0.23,77.30,8860000.0,5.47,1.35,9210000.0,N/A
8,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,21.71,59.98,14.38,12.81,24.40,31.20,10.72,110730000000.0,15.62,110730000000.0,104240000000.0,30.72,1.33,13.54,38.27,13.54,6290000000.0,110730000000.0,1880000000.0,3.75,46.30,23.60,6150000000.0,12.49,1870000000.0,2.12,17.55,3170000000.0,110730000000.0,0.36,88.41,5730000.0,1.79,1.16,4900000.0,N/A
9,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,71.85,43.16,5.99,3.27,13.80,29.78,6.76,33820000000.0,15.61,33820000000.0,40090000000.0,15.96,1.89,7.11,16.88,7.11,3060000000.0,33820000000.0,774820000.0,2.12,23.50,54.30,827550000.0,2.24,7430000000.0,1.76,27.98,1180000000.0,33820000000.0,0.40,89.67,7850000.0,4.24,2.56,1.92,N/A
10,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,40.78,15.87,0.41,1.35,2.62,2.49,2.37,24750000000.0,106.90,24750000000.0,30130000000.0,14.15,1.73,0.50,12.36,0.50,3510000000.0,24750000000.0,1600000000.0,2.79,85.80,2.60,1.44,1.44,7490000000.0,1.59,32.88,2210000000.0,24750000000.0,2.32,79.45,12400000.0,3.68,2.22,11680000.0,N/A
11,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,50.94,30.35,4.07,13.23,13.47,18.63,3.52,52060000000.0,28.83,52060000000.0,51450000000.0,24.42,2.13,4.02,18.88,4.02,5110000000.0,52060000000.0,1720000000.0,3.87,8.50,8.30,1780000000.0,4.01,50.94,1.06,8.88,1960000000.0,52060000000.0,0.13,79.33,5740000.0,2.75,1.29,6350000.0,N/A
12,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,0.88,40.29,13.64,14.13,27.56,19.14,5.52,28060000000.0,9.37,28060000000.0,29050000000.0,40.29,2.63,14.13,96.33,14.13,1750000000.0,28060000000.0,566900000.0,2.58,1320000000.0,15.70,1320000000.0,6.04,1590000000.0,0.88,1.17,395790000.0,28060000000.0,0.20,97.88,4680000.0,3.64,2.58,3650000.0,N/A
13,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,316.09,15.75,1.45,1.56,7.94,7.05,1.11,6250000000.0,6.73,6250000000.0,17450000000.0,7.26,0.51,4.04,8.05,4.04,2170000000.0,6250000000.0,342630000.0,0.5300,122900000.0,5.20,122900000.0,0.16,10850000000.0,0.51,5.36,1590000000.0,6250000000.0,1.16,90.89,10480000.0,3.4,7.61,13460000.0,N/A
14,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,114.92,26.54,2.32,1.92,8.77,24.43,3.60,13820000000.0,24.60,13820000000.0,21730000000.0,17.75,2.94,3.64,9.02,3.64,2830000000.0,13820000000.0,2.14,2.14,0.04,3.40,0.04,0.04,8420000000.0,0.55,29.61,2100000000.0,13820000000.0,0.37,70.69,6630000.0,5.35,3.05,6430000.0,N/A
15,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,2.00,18.53,0.98,2.98,5.38,8.72,11.50,3720000000.0,21.33,3720000000.0,3110000000.0,13.78,2.60,0.82,6.29,0.82,1370000000.0,3720000000.0,204160000.0,1.13,72.00,12.00,413610000.0,2.33,2.00,2.00,7.03,394430000.0,3720000000.0,6.02,89.44,18400000.0,6.13,12.66,17360000.0,N/A
16,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,126.19,17.54,2.17,1.83,12.40,22.25,3.35,33509999999.999996,31.36,33509999999.999996,55870000000.0,16.52,3.12,3.62,10.60,3.62,8970000000.0,33509999999.999996,1910000000.0,3.88,7.30,0.50,376300000.0,0.76,23110000000.0,0.51,37.17,4269999999.9999995,33509999999.999996,0.03,73.52,0.00,0.00,0.00,2.48,N/A
17,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,407.03,8.68,0.71,3.05,11.03,21.57,4.10,7510000000.0,15.95,7510000000.0,25740000000.0,8.68,1.26,2.44,7.48,2.44,2460000000.0,7510000000.0,1.76,1.76,1370000000.0,005.90,1370000000.0,2.08,19960000000.0,1.06,3.73,2410000000.0,7510000000.0,0.35,97.95,8250000.0,1.28,1.62,8189999.999999999,N/A
18,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,57.83,30.20,0.93,3.60,3.14,8.23,5.01,56090000000.0,181.68,56090000000.0,58350000000.0,14.05,1.54,0.96,10.26,0.96,15910000000.0,56090000000.0,1900000000.0,5.68,75.50,5.60,6190000000.0,18.94,9160000000.0,0.91,47.67,1100000000.0,56090000000.0,0.51,88.96,2610000.0,0.89,0.85,2430000.0,N/A
19,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,23.97,7.67,1.58,0.70,21.11,20.17,2.06,34490000000.0,27.53,34490000000.0,36930000000.0,10.87,1.05,1.69,8.30,1.69,8170000000.0,34490000000.0,4600000000.0,11.54,243.90,6.90,3550000000.0,4.55,5900000000.0,0.44,63.00,6130000000.0,34490000000.0,2.24,70.86,6770000.0,4.7,1.73,6060000.0,N/A
20,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,40.73,10.02,3.40,0.79,25.88,0.63,0.05,54250000000.0,47.76,54250000000.0,77330000000.0,10.02,1.46,4.85,10.64,4.85,13770000000.0,54250000000.0,13.197,13.197,6450000000.0,12.00,6450000000.0,19.52,30080000000.0,1.15,208.63,5870000000.0,54250000000.0,0.29,90.95,8940000.0,1.67,2.67,7840000.0,N/A
21,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,48.15,9.25,0.99,0.75,12.28,5.86,0.36,49180000000.0,53.25,49180000000.0,68360000000.0,9.25,0.23,1.38,10.08,1.38,15260000000.0,49180000000.0,6090000000.0,6.54,12750000000.0,6.50,12750000000.0,14.13,31640000000.0,0.59,72.49,8580000000.0,49180000000.0,0.09,89.30,25970000.0,4.94,2.83,21320000.0,N/A
22,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,232.79,20.96,6.83,4.20,31.83,23.17,2.33,6780000000.0,6.35,6780000000.0,11140000000.0,120.85,19.36,11.23,18.82,11.23,651060000.0,6780000000.0,306860000.0,1.96,60.80,1.70,76790000.0,0.49,4090000000.0,0.44,9.78,394140000.0,6780000000.0,1.03,102.26,3520000.0,4.02,3.19,3890000.0,N/A
23,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,24.95,9.71,0.75,1.12,8.10,7.70,1.00,4790000000.0,116.67,4790000000.0,4480000000.0,10.23,0.58,0.70,7.35,0.70,1830000000.0,4790000000.0,519600000.0,9.3900,899.70,4.30,1280000000.0,24.41,1070000000.0000001,0.93,81.47,530400000.0,4790000000.0,0.95,95.63,1.76,1.76,1.74,2.24,N/A
24,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,20.02,56.56,4.84,3.66,8.72,15.11,5.26,12120000000.0,14.59,12120000000.0,12540000000.0,20.08,1.51,5.01,19.43,5.01,1630000000.0,12120000000.0,218320000.0,1.26,79.10,7.70,711940000.0,4.19,662910000.0,2.82,19.49,800980000.0,12120000000.0,3.02,91.49,10460000.0,4.38,6.23,9530000.0,N/A
25,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,28.15,11.64,0.89,1.66,8.28,11.78,2.57,34350000000.0,106.42,34350000000.0,38310000000.0,11.23,1.06,0.99,7.63,0.99,14670000000.0,34350000000.0,3070000000.0,8.36,48.70,6.10,2560000000.0,7.22,6350000000.0,0.69,58.61,4310000000.0,34350000000.0,0.30,79.87,5100000.0,2.48,1.42,3820000.0,N/A
26,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,0.68,65.96,5.88,5.27,29.82,9.98,7.72,1960000000.0,6.35,1960000000.0,1760000000.0,65.96,6.40,5.27,81.64,5.27,21510000.0,1960000000.0,99410000.0,0.66,39210000.0,8.50,39210000.0,0.67,0.68,0.73,1.22,16090000.0,1960000000.0,30.19,49.82,0.05,0.05,0.28,0.00,N/A
27,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,36.33,56.75,7.00,2.79,12.48,27.69,4.58,24860000000.0,15.86,24860000000.0,28400000000.0,13.21,0.93,8.00,19.31,8.00,3100000000.0,24860000000.0,443300000.0,1.97,67.60,9.50,1480000000.0,6.69,3230000000.0,3.10,40.01,1120000000.0,24860000000.0,0.64,97.53,4790000.0,1.91,2.52,5230000.0,N/A
